geoid,supply
17031010100,1
17031010201,0
17031010202,4
17031010300,4
17031010400,0
17031010501,0
17031010502,0
17031010503,0
17031010600,0
17031010701,1
17031010702,4
17031020100,1
17031020200,0
17031020301,0
17031020302,4
17031020400,0
17031020500,3
17031020601,8
17031020602,0
17031020701,1
17031020702,7
17031020801,6
17031020802,3
17031020901,4
17031020902,0
17031030101,2
17031030102,0
17031030103,0
17031030104,0
17031030200,1
17031030300,0
17031030400,5
17031030500,0
17031030601,0
17031030603,1
17031030604,0
17031030701,1
17031030702,2
17031030703,3
17031030706,1
17031030800,4
17031030900,0
17031031000,12
17031031100,8
17031031200,7
17031031300,0
17031031400,29
17031031501,0
17031031502,8
17031031700,1
17031031800,0
17031031900,1
17031032100,23
17031040100,0
17031040201,41
17031040202,0
17031040300,29
17031040401,1
17031040402,0
17031040600,0
17031040700,1
17031040800,2
17031040900,0
17031050100,3
17031050200,13
17031050300,0
17031050500,0
17031050600,0
17031050700,0
17031050800,1
17031050900,0
17031051000,3
17031051100,0
17031051200,0
17031051300,0
17031051400,1
17031060100,0
17031060200,0
17031060300,1
17031060400,0
17031060500,8
17031060800,0
17031060900,0
17031061000,0
17031061100,0
17031061200,0
17031061500,0
17031061800,0
17031061901,0
17031061902,2
17031062000,3
17031062100,0
17031062200,18
17031062300,0
17031062400,0
17031062500,2
17031062600,2
17031062700,7
17031062800,0
17031062900,1
17031063000,82
17031063100,2
17031063200,3
17031063301,0
17031063302,15
17031063303,40
17031063400,1
17031070101,0
17031070102,12
17031070103,1
17031070200,1
17031070300,3
17031070400,5
17031070500,2
17031070600,1
17031070700,0
17031071000,0
17031071100,9
17031071200,81
17031071300,4
17031071400,0
17031071500,0
17031071600,0
17031071700,0
17031071800,1
17031080100,1
17031080201,1
17031080202,0
17031080300,13
17031080400,6
17031081000,9
17031081100,2
17031081201,2
17031081202,0
17031081300,1
17031081401,243
17031081402,0
17031081403,5
17031081500,4
17031081600,0
17031081700,0
17031081800,7
17031081900,0
17031090100,0
17031090200,0
17031090300,0
17031100100,2
17031100200,4
17031100300,0
17031100400,52
17031100500,0
17031100600,3
17031100700,0
17031110100,4
17031110200,6
17031110300,0
17031110400,2
17031110501,1
17031110502,5
17031120100,0
17031120200,13
17031120300,3
17031120400,0
17031130100,13
17031130200,2
17031130300,4
17031140100,1
17031140200,1
17031140301,2
17031140302,0
17031140400,1
17031140500,3
17031140601,0
17031140602,1
17031140701,2
17031140702,1
17031140800,2
17031150200,1
17031150300,5
17031150401,5
17031150402,0
17031150501,0
17031150502,0
17031150600,9
17031150700,3
17031150800,0
17031151001,1
17031151002,0
17031151100,5
17031151200,2
17031160100,3
17031160200,0
17031160300,1
17031160400,1
17031160501,0
17031160502,0
17031160601,0
17031160602,0
17031160700,2
17031160800,1
17031160900,0
17031161000,1
17031161100,0
17031161200,0
17031161300,2
17031170100,5
17031170200,2
17031170300,0
17031170400,6
17031170500,0
17031170600,0
17031170700,1
17031170800,2
17031170900,0
17031171000,8
17031171100,0
17031180100,2
17031190100,0
17031190200,0
17031190300,3
17031190401,6
17031190402,2
17031190601,0
17031190602,1
17031190701,0
17031190702,4
17031190800,0
17031190900,0
17031191000,0
17031191100,3
17031191200,5
17031191301,0
17031191302,1
17031200100,0
17031200200,0
17031200300,1
17031200401,0
17031200402,1
17031210100,0
17031210400,0
17031210501,1
17031210502,0
17031210601,0
17031210602,6
17031210700,0
17031210800,0
17031210900,0
17031220300,0
17031220400,1
17031220500,6
17031220601,3
17031220602,2
17031220701,7
17031220702,0
17031220901,0
17031220902,0
17031221000,0
17031221100,2
17031221200,0
17031221300,3
17031221400,0
17031221500,0
17031221600,0
17031222200,0
17031222500,0
17031222600,3
17031222700,0
17031222800,0
17031222900,0
17031230100,0
17031230200,2
17031230300,0
17031230400,1
17031230500,0
17031230600,3
17031230700,1
17031230800,0
17031230900,1
17031231100,0
17031231200,2
17031231500,3
17031240200,0
17031240300,0
17031240500,0
17031240600,0
17031240700,9
17031240800,0
17031240900,16
17031241000,0
17031241100,4
17031241200,40
17031241300,0
17031241400,3
17031241500,3
17031241600,0
17031242000,2
17031242100,0
17031242200,2
17031242300,1
17031242400,26
17031242500,0
17031242600,3
17031242700,0
17031242800,2
17031242900,1
17031243000,0
17031243100,0
17031243200,8
17031243300,0
17031243400,0
17031243500,1
17031250200,0
17031250300,0
17031250400,2
17031250500,9
17031250600,1
17031250700,1
17031250800,0
17031251000,0
17031251100,8
17031251200,0
17031251300,0
17031251400,0
17031251500,0
17031251600,0
17031251700,0
17031251800,2
17031251900,6
17031252000,7
17031252101,0
17031252102,0
17031252201,1
17031252202,0
17031260100,4
17031260200,0
17031260300,0
17031260400,0
17031260500,0
17031260600,0
17031260700,0
17031260800,0
17031260900,1
17031261000,0
17031270500,0
17031271200,0
17031271300,0
17031271400,5
17031271500,0
17031271800,1
17031280100,1
17031280400,1
17031280800,15
17031280900,0
17031281900,11
17031282700,2
17031282800,1
17031283100,0
17031283200,0
17031283800,0
17031290900,0
17031291200,0
17031291600,0
17031292200,0
17031292400,25
17031292500,0
17031300500,0
17031300600,4
17031300700,1
17031300800,4
17031300900,0
17031301100,0
17031301200,3
17031301600,2
17031301701,0
17031301702,2
17031301801,0
17031301802,2
17031301803,0
17031310200,0
17031310300,1
17031310400,0
17031310500,0
17031310600,11
17031310700,2
17031310800,0
17031310900,4
17031320100,21
17031320400,8
17031320600,2
17031330100,9
17031330200,1
17031340300,0
17031340400,0
17031340500,0
17031340600,0
17031350100,3
17031350400,5
17031351000,1
17031351100,0
17031351400,1
17031351500,0
17031360200,0
17031380100,1
17031380200,1
17031380500,0
17031380700,1
17031381200,0
17031381400,0
17031381500,0
17031381700,2
17031381800,1
17031381900,21
17031390100,0
17031390200,0
17031390300,0
17031390400,0
17031390500,0
17031390600,3
17031390700,1
17031400300,0
17031400400,0
17031400500,0
17031400800,0
17031410100,0
17031410200,0
17031410500,13
17031410600,0
17031410700,0
17031410800,3
17031410900,0
17031411000,0
17031411100,1
17031411200,0
17031420100,0
17031420200,0
17031420300,0
17031420400,11
17031420500,0
17031420600,1
17031420700,1
17031420800,0
17031421200,0
17031430101,0
17031430102,0
17031430200,0
17031430300,0
17031430400,0
17031430500,1
17031430600,8
17031430700,2
17031430800,1
17031430900,0
17031431200,3
17031431301,0
17031431302,0
17031431400,0
17031440101,1
17031440102,2
17031440201,0
17031440202,1
17031440300,5
17031440600,1
17031440700,0
17031440800,0
17031440900,0
17031450300,1
17031460100,0
17031460200,2
17031460301,0
17031460302,0
17031460400,0
17031460500,15
17031460600,0
17031460700,1
17031461000,7
17031470100,2
17031480100,0
17031480200,1
17031480300,4
17031480400,22
17031480500,1
17031490300,0
17031490400,0
17031490500,0
17031490600,0
17031490700,0
17031490800,0
17031490901,0
17031490902,2
17031491000,1
17031491100,1
17031491200,0
17031491300,2
17031491400,10
17031500100,1
17031500200,0
17031500300,2
17031510100,0
17031510200,4
17031510300,0
17031520100,0
17031520200,0
17031520300,0
17031520400,3
17031520500,1
17031520600,0
17031530100,0
17031530200,0
17031530300,0
17031530400,0
17031530501,0
17031530502,0
17031530503,0
17031530600,0
17031540101,0
17031540102,1
17031550100,2
17031550200,0
17031560100,0
17031560200,0
17031560300,0
17031560400,0
17031560700,1
17031560800,9
17031560900,3
17031561000,6
17031561100,0
17031570100,1
17031570200,0
17031570300,0
17031570400,0
17031570500,1
17031580100,0
17031580200,0
17031580300,0
17031580400,1
17031580501,1
17031580502,5
17031580600,0
17031580700,0
17031580800,0
17031590500,0
17031590600,1
17031590700,0
17031600400,0
17031600600,0
17031600700,0
17031600900,2
17031610300,1
17031610400,1
17031610800,0
17031611000,0
17031611100,0
17031611200,4
17031611300,0
17031611400,2
17031611500,0
17031611600,0
17031611700,0
17031611800,1
17031611900,0
17031612000,0
17031612100,0
17031620100,0
17031620200,1
17031620300,1
17031620400,3
17031630100,0
17031630200,0
17031630300,2
17031630400,0
17031630500,0
17031630800,0
17031630900,0
17031640100,0
17031640300,2
17031640400,0
17031640500,2
17031640600,1
17031640700,0
17031640800,0
17031650100,0
17031650200,4
17031650301,8
17031650302,4
17031650400,0
17031650500,0
17031660301,0
17031660302,0
17031660400,0
17031660500,3
17031660600,0
17031660700,0
17031660800,0
17031660900,10
17031661000,0
17031661100,0
17031670100,0
17031670200,0
17031670300,0
17031670400,0
17031670500,1
17031670600,0
17031670700,0
17031670800,0
17031670900,0
17031671100,0
17031671200,1
17031671300,1
17031671400,0
17031671500,2
17031671600,0
17031671800,0
17031671900,0
17031672000,0
17031680500,0
17031680600,0
17031680900,17
17031681000,0
17031681100,1
17031681200,3
17031681300,0
17031681400,0
17031690300,1
17031690400,0
17031690500,0
17031690900,0
17031691000,0
17031691100,0
17031691200,0
17031691300,0
17031691400,1
17031691500,1
17031700100,1
17031700200,0
17031700301,0
17031700302,0
17031700401,0
17031700402,0
17031700501,3
17031700502,2
17031710100,1
17031710200,0
17031710300,0
17031710400,1
17031710500,0
17031710600,0
17031710700,0
17031710800,1
17031710900,0
17031711000,1
17031711100,1
17031711200,1
17031711300,0
17031711400,0
17031711500,0
17031720100,0
17031720200,1
17031720300,20
17031720400,0
17031720500,1
17031720600,0
17031720700,9
17031730100,0
17031730201,2
17031730202,0
17031730300,0
17031730400,2
17031730500,0
17031730600,0
17031730700,0
17031740100,3
17031740200,0
17031740300,0
17031740400,2
17031750100,4
17031750200,0
17031750300,0
17031750400,4
17031750500,2
17031750600,0
17031760801,0
17031760802,0
17031760803,0
17031770201,7
17031770202,44
17031770300,0
17031770400,2
17031770500,2
17031770601,0
17031770602,1
17031770700,0
17031770800,1
17031770901,0
17031770902,3
17031800100,0
17031800200,4
17031800300,2
17031800400,6
17031800500,10
17031800600,1
17031800700,2
17031800800,5
17031800900,0
17031801000,12
17031801100,0
17031801200,7
17031801300,3
17031801400,0
17031801500,31
17031801601,5
17031801603,0
17031801605,2
17031801606,0
17031801607,26
17031801608,26
17031801701,0
17031801702,15
17031801800,0
17031801901,3
17031801902,8
17031802002,0
17031802003,0
17031802004,0
